t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
1702,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1703,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1704,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1705,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1706,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1707,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1708,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1709,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1710,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1711,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1712,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1713,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1714,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1715,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1716,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1717,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1718,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1719,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1720,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1721,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1722,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1723,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1724,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1725,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1726,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1727,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1728,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1729,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1730,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1731,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1732,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1733,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1734,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1735,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1736,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1737,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1738,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1739,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1740,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1741,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1742,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1743,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1744,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1745,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1746,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1747,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1748,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1749,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1750,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1751,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1752,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1753,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1754,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1755,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1756,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1757,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1758,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1759,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1760,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1761,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1762,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1763,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1764,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1765,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1766,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1767,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1768,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1769,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1770,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1771,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1772,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1773,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1774,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1775,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1776,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1777,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1778,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1779,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1780,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1781,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1782,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1783,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1784,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1785,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1786,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1787,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1788,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1789,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1790,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1791,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1792,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1793,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1794,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1795,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1796,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1797,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1798,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1799,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1800,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1801,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1802,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1803,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1804,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1805,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1806,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1807,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1808,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1809,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1810,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1811,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1812,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1813,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1814,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1815,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1816,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1817,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1818,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1819,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1820,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1821,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1822,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1823,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1824,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1825,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
1826,1,MS,10,1,357143.00000000,357143.00000000,0.00333894
