LAI_turgor,mstruct,Total_Transpiration_turgor,xylem_water_potential,Tr,plant_WC_DM,total_water_influx,plant,plant_water_content,delta_plant_water_content,Growth,axis,t,green_area
0.00000000,0.08094509,0.02685146,-0.03400284,NA,90.66748286,0.02685189,1,0.53124179,0.00016147,0.00016104,MS,163,0.00141281
0.00000000,0.08113908,0.03655818,-0.03465223,NA,90.67130800,0.03655766,1,0.53148204,0.00015999,0.00016051,MS,164,0.00141423
0.00000000,0.08133240,0.07010587,-0.03500162,NA,90.67292787,0.07010454,1,0.53158384,0.00015914,0.00016047,MS,165,0.00141584
0.00000000,0.08152809,0.09262198,-0.03620930,NA,90.67780098,0.09262100,1,0.53189031,0.00016051,0.00016148,MS,166,0.00141730
0.00000000,0.08172632,0.10291021,-0.03701993,NA,90.68365829,0.10291481,1,0.53225909,0.00016893,0.00016433,MS,167,0.00141896
0.00000000,0.08192609,0.12418916,-0.03739061,NA,90.68798780,0.12419581,1,0.53253198,0.00017418,0.00016752,MS,168,0.00142072
0.00000000,0.08213069,0.15045228,-0.03815684,NA,90.69220842,0.15045789,1,0.53279825,0.00017600,0.00017040,MS,169,0.00142245
0.00000000,0.08233847,0.12169899,-0.03910238,NA,90.70074206,0.12170296,1,0.53333737,0.00017731,0.00017333,MS,170,0.00142430
0.00000000,0.08254792,0.10317775,-0.03806731,NA,90.70677801,0.10318213,1,0.53371928,0.00018186,0.00017748,MS,171,0.00142636
0.00000000,0.08275858,0.07771582,-0.03740071,NA,90.71253702,0.07771412,1,0.53408414,0.00017830,0.00018000,MS,172,0.00142830
0.00000000,0.08297109,0.03869715,-0.03648395,NA,90.71822588,0.03870540,1,0.53444500,0.00019133,0.00018307,MS,173,0.00143022
0.00000000,0.08318165,0.02209673,-0.03507975,NA,90.71987608,0.02210379,1,0.53454976,0.00019117,0.00018410,MS,174,0.00143213
0.00000000,0.08339154,0.01250896,-0.03448213,NA,90.72036233,0.01252078,1,0.53458064,0.00019573,0.00018391,MS,175,0.00143378
0.00000000,0.08360078,0.00854427,-0.03413713,NA,90.72007836,0.00854493,1,0.53456260,0.00018176,0.00018110,MS,176,0.00143532
0.00000000,0.08380932,0.00855509,-0.03399390,NA,90.72076607,0.00855951,1,0.53460627,0.00018441,0.00017999,MS,177,0.00143678
0.00000000,0.08402007,0.00856447,-0.03399439,NA,90.72175956,0.00856772,1,0.53466937,0.00018146,0.00017821,MS,178,0.00143825
0.00000000,0.08423063,0.00857591,-0.03399462,NA,90.72294671,0.00857498,1,0.53474479,0.00017528,0.00017621,MS,179,0.00143980
0.00000000,0.08444009,0.00858730,-0.03399481,NA,90.72426007,0.00859621,1,0.53482825,0.00018455,0.00017565,MS,180,0.00144134
0.00000000,0.08464919,0.00859768,-0.03399555,NA,90.72566356,0.00860556,1,0.53491746,0.00018199,0.00017412,MS,181,0.00144285
0.00000000,0.08485792,0.00860808,-0.03399583,NA,90.72713216,0.00861503,1,0.53501084,0.00017960,0.00017265,MS,182,0.00144434
0.00000000,0.08506371,0.00861904,-0.03399612,NA,90.72864258,0.00862523,1,0.53510691,0.00017742,0.00017123,MS,183,0.00144582
0.00000000,0.08527147,0.00862984,-0.03399644,NA,90.73019301,0.00863546,1,0.53520555,0.00017550,0.00016988,MS,184,0.00144720
0.00000000,0.08547873,0.00863890,-0.03399676,NA,90.73176043,0.00864407,1,0.53530531,0.00017397,0.00016879,MS,185,0.00144865
0.00000000,0.08568539,0.00909948,-0.03399703,NA,90.73331505,0.00910442,1,0.53540429,0.00017249,0.00016756,MS,186,0.00145008
0.00000000,0.08589211,0.02785230,-0.03401355,NA,90.73389529,0.02785182,1,0.53544124,0.00016556,0.00016604,MS,187,0.00145150
0.00000000,0.08609861,0.03795957,-0.03468841,NA,90.73779603,0.03796034,1,0.53568977,0.00016678,0.00016602,MS,188,0.00145288
0.00000000,0.08630509,0.07292868,-0.03505231,NA,90.73947856,0.07292968,1,0.53579703,0.00016748,0.00016648,MS,189,0.00145445
0.00000000,0.08651441,0.09642505,-0.03631123,NA,90.74559142,0.09642805,1,0.53618706,0.00017106,0.00016806,MS,190,0.00145588
0.00000000,0.08672392,0.10711043,-0.03715722,NA,90.75151249,0.10711043,1,0.53656535,0.00017050,0.00017051,MS,191,0.00145753
