t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
15,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392790,NA
16,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23682798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.77495477,NA,NA,NA,NA
16,1,MS,roots,0.02815505,8.91279308,0.02312847,0.04253372,0.00557819,1.47551946,NA,0.14537749,0.00017966,NA,0.10028604,0.08841684,NA,NA,NA,0.06096281,0.97228790,NA,1.41117322,NA,1.19973942,NA,NA,14.20999404,NA,NA,1.67659697,44.56396541,0.22271244,NA,NA,1.37743109,8.95184615,0.00007883,NA,0.03589178,22.79811477,NA,0.00000000,0.00010365,0.00000000,NA,NA,NA,84.44745088,2.82338890,0.24966569,NA,NA
16,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392856,NA
17,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.10349538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.56108129,NA,NA,NA,NA
17,1,MS,roots,0.02767342,9.05014812,0.02413056,0.04281672,0.00560818,1.47518900,NA,0.15905897,0.00018004,NA,0.10003411,0.08606029,NA,NA,NA,0.06042514,0.95565539,NA,1.40459596,NA,1.18436893,NA,NA,14.29555700,NA,NA,1.69897791,45.25074058,0.21677654,NA,NA,1.43532063,8.98874780,0.00007749,NA,0.03596926,22.92120272,NA,0.00000000,0.00010378,0.00000000,NA,NA,NA,81.66697048,2.77509041,0.24651954,NA,NA
17,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392787,NA
18,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00285570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.36128813,NA,NA,NA,NA
18,1,MS,roots,0.02716882,9.14084936,0.02639237,0.04528815,0.00592598,1.47514530,NA,0.17264620,0.00018042,NA,0.09976370,0.08376352,NA,NA,NA,0.05986863,0.93822991,NA,1.39784271,NA,1.16767103,NA,NA,14.37903230,NA,NA,1.72159752,45.70424679,0.21099124,NA,NA,1.49162710,9.02480672,0.00007607,NA,0.03604533,23.03609726,NA,0.00000000,0.00010922,0.00000000,NA,NA,NA,78.97503025,2.72448925,0.24339585,NA,NA
18,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392896,NA
19,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.02429890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.88341914,NA,NA,NA,NA
19,1,MS,roots,0.02664148,11.27781504,0.08061497,0.13706587,0.01796772,1.47960975,NA,0.22174072,0.00018080,NA,0.09951997,0.08196948,NA,NA,NA,0.05937590,0.92001896,NA,1.39154783,NA,1.15105067,NA,NA,14.42062878,NA,NA,2.15161697,56.38907520,0.20647225,NA,NA,1.50658211,9.04828120,0.00007460,NA,0.03611993,23.05414077,NA,0.00000000,0.00033030,0.00000000,NA,NA,NA,76.62532379,2.67160717,0.24086536,NA,NA
19,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03394180,NA
20,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00471381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.71488524,NA,NA,NA,NA
20,1,MS,roots,0.02614950,13.01222834,0.10888305,0.18567624,0.02442106,1.48648780,NA,0.26189978,0.00018116,NA,0.09929345,0.08047687,NA,NA,NA,0.05876244,0.90302931,NA,1.38557181,NA,1.13444624,NA,NA,14.44007317,NA,NA,2.44606841,65.06114171,0.20271251,NA,NA,1.49987700,9.06475120,0.00007322,NA,0.03619315,23.01941026,NA,0.00000000,0.00044812,0.00000000,NA,NA,NA,74.51988775,2.62227158,0.23853276,NA,NA
20,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03445679,NA
21,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.06854601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.02076288,NA,NA,NA,NA
21,1,MS,roots,0.02568131,17.25443893,0.19631439,0.35120474,0.04657387,1.50132947,NA,0.33535684,0.00018152,NA,0.09913752,0.07979039,NA,NA,NA,0.05821166,0.88686135,NA,1.38065279,NA,1.11979737,NA,NA,14.38287794,NA,NA,3.11596480,86.27219463,0.20098336,NA,NA,1.41700046,9.05849935,0.00007191,NA,0.03626506,22.81501364,NA,0.00000000,0.00085520,0.00000000,NA,NA,NA,72.90606669,2.57532210,0.23713956,NA,NA
