t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC,PARi
356,1,8,13,0,10,0.75,400,3,80,138.2698413
357,1,9,13,101,10,0.75,400,3,80,338.6666667
358,1,10,13,269.3333333,10,0.75,400,3,80,474.3333333
359,1,11,13,460.1111111,10,0.75,400,3,80,535.650794
360,1,12,13,280.5555556,10,0.75,400,3,80,649.476191
361,1,13,13,224.4444444,10,0.75,400,3,80,795.968254
362,1,14,13,370.3333333,10,0.75,400,3,80,635.650793
363,1,15,13,291.7777778,10,0.75,400,3,80,529.4444444
364,1,16,13,67.33333333,10,0.75,400,3,80,379.3492063
365,1,17,13,0,10,0.75,400,3,80,148.4920635
366,1,18,13,0,10,0.75,400,3,80,52.9047619
367,1,19,13,0,10,0.75,400,3,80,0
368,1,20,7,0,10,0.75,400,3,80,0
369,1,21,7,0,10,0.75,400,3,80,0
370,1,22,7,0,10,0.75,400,3,80,0
371,1,23,7,0,10,0.75,400,3,80,0
372,1,24,7,0,10,0.75,400,3,80,0
373,2,1,7,0,10,0.75,400,3,80,0
374,2,2,7,0,10,0.75,400,3,80,0
375,2,3,7,0,10,0.75,400,3,80,0
376,2,4,7,0,10,0.75,400,3,80,0
377,2,5,7,0,10,0.75,400,3,80,0
378,2,6,7,0,10,0.75,400,3,80,3.206349206
379,2,7,13,0,10,0.75,400,3,80,81.76190476
380,2,8,13,0,10,0.75,400,3,80,138.2698413
381,2,9,13,11.22222222,10,0.75,400,3,80,338.6666667
382,2,10,13,56.11111111,10,0.75,400,3,80,474.3333333
383,2,11,13,101,10,0.75,400,3,80,535.650794
384,2,12,13,179.5555556,10,0.75,400,3,80,649.476191
385,2,13,13,291.7777778,10,0.75,400,3,80,795.968254
386,2,14,13,314.2222222,10,0.75,400,3,80,635.650793
387,2,15,13,224.4444444,10,0.75,400,3,80,529.4444444
388,2,16,13,44.88888889,10,0.75,400,3,80,379.3492063
389,2,17,13,0,10,0.75,400,3,80,148.4920635
390,2,18,13,0,10,0.75,400,3,80,52.9047619
391,2,19,13,0,10,0.75,400,3,80,0
392,2,20,7,0,10,0.75,400,3,80,0
393,2,21,7,0,10,0.75,400,3,80,0
394,2,22,7,0,10,0.75,400,3,80,0
395,2,23,7,0,10,0.75,400,3,80,0
396,2,24,7,0,10,0.75,400,3,80,0
397,3,1,7,0,10,0.75,400,3,80,0
398,3,2,7,0,10,0.75,400,3,80,0
399,3,3,7,0,10,0.75,400,3,80,0
400,3,4,7,0,10,0.75,400,3,80,0
401,3,5,7,0,10,0.75,400,3,80,0
402,3,6,7,0,10,0.75,400,3,80,3.206349206
403,3,7,13,0,10,0.75,400,3,80,81.76190476
404,3,8,13,0,10,0.75,400,3,80,138.2698413
405,3,9,13,33.66666667,10,0.75,400,3,80,338.6666667
406,3,10,13,67.33333333,10,0.75,400,3,80,474.3333333
407,3,11,13,101,10,0.75,400,3,80,535.650794
