N_content_shoot,plant,N_content,NS_roots,sum_respi_shoot,C_respired_roots,sum_NSC_g,mstruct_shoot,mstruct_stem,C_respired_shoot,C_N_ratio_shoot,NS_laminae,N_content_mstruct_shoot,sum_dry_mass,Cont_WSC_DM_roots,Total_Transpiration,dry_mass_phloem,Cont_WSC_DM,NNI,C_N_ratio,shoot_roots_ratio,N_content_mstruct,Cont_WSC_DM_stem,sum_N_g_shoot,shoot_roots_mstruct_ratio,Total_Photosynthesis,NS_shoot,C_exudated,mstruct,sum_respi_roots,NS_stem,sum_N_g,NS,N_content_total_DM_shoot,sum_dry_mass_laminae,Tillers_Photosynthesis,sum_C_g,Tillers_Photosynthesis_An,sum_dry_mass_stem,sum_dry_mass_shoot,axis,Cont_WSC_DM_laminae,mstruct_laminae,t,Cont_WSC_DM_shoot,sum_dry_mass_roots,N_content_roots,senesced_mstruct,N_content_mstruct_roots
3.87348850,1,2.40920731,20.67274137,0.79263239,1.32265278,0.01008984,0.02178443,0.00729091,1.39468424,10.86071914,44.44988390,6.83927797,0.08504716,16.613640227794317,0.00027181,0.00840997,16.683780426575154,0.88033829,17.53784340,0.82570484,3.48833217,19.888062567304505,0.00148990,0.58951437,5.14341654,43.36407276,2.32468737,0.05873760,0.28052953,41.07444636,0.00204896,30.93526670,3.87348850,0.02609088,5.14341654,0.03593438,4.86659985,0.01237309,0.03846397,MS,15.289441224806112,0.01449351,30.00000000,16.768726275682948,0.04658319,1.20014325,0.00000000,1.51290146
3.89313167,1,2.41686219,20.59900816,0.67300527,1.34983194,0.00997363,0.02183375,0.00730691,1.26189043,10.80588823,43.97590146,6.82401804,0.08491955,16.514222066487854,0.00015495,0.00818501,16.386359792291824,0.88480265,17.48101624,0.82041024,3.48611747,19.53976871119521,0.00148994,0.58947321,0.00000000,42.94956944,2.05740479,0.05887319,0.28592558,40.79320563,0.00205239,30.67180873,3.89313167,0.02592963,0.00000000,0.03587784,0.00000000,0.01234134,0.03827097,MS,14.655449226719142,0.01452684,31.00000000,16.230508160407144,0.04664858,1.20571559,0.00000000,1.51851452
3.90569803,1,2.42412584,20.44383939,0.45269374,1.36847665,0.00986519,0.02188344,0.00732291,1.04586097,10.77134961,43.65903574,6.80796424,0.08481229,16.326507987643282,0.00010589,0.00798117,16.105272320688506,0.88765864,17.42729429,0.81737027,3.48405913,19.2041093020745,0.00148982,0.58942210,0.00000000,42.63045610,1.54801178,0.05901038,0.28919988,40.46949793,0.00205596,30.42236782,3.90569803,0.02584359,0.00000000,0.03582976,0.00000000,0.01230111,0.03814470,MS,14.230777344274163,0.01456053,32.00000000,15.834604699339916,0.04666759,1.21313278,0.00000000,1.52487598
3.91707979,1,2.43130505,20.26030674,0.44865381,1.37639764,0.00975890,0.02193229,0.00733892,1.03179690,10.74018665,43.38509338,6.79377143,0.08470986,16.113921948627723,0.00010600,0.00778390,15.82840327881522,0.89024541,17.37447442,0.81505964,3.48208070,18.873752901879744,0.00149003,0.58934054,0.00000000,42.34307370,1.38748355,0.05914725,0.29078100,40.15272881,0.00205956,30.17665977,3.91707979,0.02577654,0.00000000,0.03578369,0.00000000,0.01226275,0.03803929,MS,13.86267425178066,0.01459336,33.00000000,15.47809925913376,0.04667057,1.22031003,0.00000000,1.53036709
3.92764570,1,2.43840687,20.05768106,0.44506506,1.38071866,0.00965410,0.02198103,0.00735494,1.02698916,10.71136920,43.13776321,6.78075120,0.08461115,15.88480212126574,0.00010594,0.00759569,15.554240209702087,0.89264675,17.32251530,0.81324863,3.48011833,18.553411736484765,0.00149048,0.58925204,0.00000000,42.07654009,1.25617541,0.05928431,0.29152478,39.84393769,0.00206316,29.93321973,3.92764570,0.02572198,0.00000000,0.03573919,0.00000000,0.01222643,0.03794841,MS,13.528964945170916,0.01462609,34.00000000,15.14776929997616,0.04666274,1.22728542,0.00000000,1.53521368
3.93752739,1,2.44544572,19.83907993,0.44176655,1.38227007,0.00954985,0.02203107,0.00737096,1.03915836,10.68453363,42.90784702,6.76823009,0.08451509,15.641687964593054,0.00010606,0.00741551,15.28043007688118,0.89489259,17.27132703,0.81184782,3.47807834,18.243268849611173,0.00149111,0.58919684,0.00000000,41.82338168,1.14409363,0.05942278,0.29168943,39.53922359,0.00206677,29.68974578,3.93752739,0.02567798,0.00000000,0.03569587,0.00000000,0.01219131,0.03786929,MS,13.217493328439128,0.01466011,35.00000000,14.835447804209542,0.04664580,1.23410248,0.00000000,1.53953133
3.94688634,1,2.45241101,19.60932467,0.43865129,1.38142839,0.00944650,0.02208161,0.00738699,1.04192077,10.65921407,42.69262310,6.75623618,0.08442148,15.389000924347792,0.00010617,0.00724371,15.00796904734173,0.89701962,17.22097342,0.81074808,3.47599527,17.943476775744784,0.00149189,0.58915565,0.00000000,41.58158123,1.05106792,0.05956170,0.29133086,39.23820873,0.00207036,29.44722810,3.94688634,0.02564176,0.00000000,0.03565365,0.00000000,0.01215729,0.03779905,MS,12.923382512227247,0.01469462,36.00000000,14.537993368401628,0.04662244,1.24076802,0.00000000,1.54342281
3.95587388,1,2.45927754,19.37328707,0.43415178,1.37855783,0.00934509,0.02213065,0.00740302,1.01968800,10.63495578,42.48930633,6.74522550,0.08433070,15.131423232113802,0.00010735,0.00708115,14.739744605753344,0.89906225,17.17160441,0.80985193,3.47397335,17.656708445104645,0.00149276,0.58907776,0.00000000,41.35297798,0.97492112,0.05969896,0.29054326,38.95336715,0.00207393,29.20850881,3.95587388,0.02560851,0.00000000,0.03561264,0.00000000,0.01212683,0.03773534,MS,12.645755726517896,0.01472763,37.00000000,14.256102332316816,0.04659536,1.24725611,0.00000000,1.54695145
3.96449470,1,2.46606079,19.13083884,0.43115333,1.37397100,0.00924476,0.02217957,0.00741906,1.01516293,10.61176219,42.29523598,6.73466807,0.08424186,14.868539787890796,0.00010753,0.00692531,14.473518971250568,0.90102152,17.12311777,0.80914714,3.47192626,17.37946842368357,0.00149372,0.58900125,0.00000000,41.13303491,0.91038426,0.05983582,0.28942586,38.67575754,0.00207746,28.97139502,3.96449470,0.02557936,0.00000000,0.03557252,0.00000000,0.01209809,0.03767746,MS,12.380020930024067,0.01476051,38.00000000,13.985324926691858,0.04656441,1.25360727,0.00000000,1.55016727
3.97282446,1,2.47275163,18.88434095,0.42822031,1.36782494,0.00914580,0.02222771,0.00743511,1.00288651,10.58941355,42.10958089,6.72466711,0.08415494,14.60257771522557,0.00010771,0.00677604,14.210216279389925,0.90291465,17.07556170,0.80858428,3.46988560,17.11147334086141,0.00149474,0.58891034,0.00000000,40.92161906,0.85640141,0.05997151,0.28801601,38.40692640,0.00208094,28.73679676,3.97282446,0.02555276,0.00000000,0.03553327,0.00000000,0.01207134,0.03762410,MS,12.125159480238368,0.01479260,39.00000000,13.724971335435884,0.04653084,1.25981631,0.00000000,1.55311111
