xylem_water_potential,axis,Ksoil,mstruct,SRWC,Tsoil,organ,proteins,Tr,soil_water_potential,total_water_potential,plant,age,amino_acids,t,sucrose,green_area
NA,MS,NA,0.03716818,NA,NA,roots,NA,NA,NA,NA,1,NA,1.62920868,52,190.47817644,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00269953,1,NA,NA,52,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.75858813,53,402.69100687,NA
NA,MS,NA,0.03722589,NA,NA,roots,NA,NA,NA,NA,1,NA,1.79989249,53,198.15226054,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00200706,1,NA,NA,53,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.60021437,54,398.31570843,NA
NA,MS,NA,0.03728400,NA,NA,roots,NA,NA,NA,NA,1,NA,1.97083124,54,204.23278970,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00100733,1,NA,NA,54,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.38166520,55,391.11964915,NA
NA,MS,NA,0.03734242,NA,NA,roots,NA,NA,NA,NA,1,NA,2.12210920,55,208.50061610,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00062409,1,NA,NA,55,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.24629409,56,385.11126453,NA
NA,MS,NA,0.03740109,NA,NA,roots,NA,NA,NA,NA,1,NA,2.23699453,56,210.37962709,NA
NA,MS,NA,NA,NA,NA,xylem,NA,NA,-0.11900251,-0.00042314,1,NA,NA,56,NA,NA
NA,MS,NA,NA,NA,NA,phloem,NA,NA,NA,NA,1,NA,7.10709573,57,379.60042158,NA
NA,MS,NA,0.03745990,NA,NA,roots,NA,NA,NA,NA,1,NA,2.33096121,57,211.39449396,NA
