t,plant,axis,Tsoil,volume,nitrates,Conc_Nitrates_Soil,mineralisation
904,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
905,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
906,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
907,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
908,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
909,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
910,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
911,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
912,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
913,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
914,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
915,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
916,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
917,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
918,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
919,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
920,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
921,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
922,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
923,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
924,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
925,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
926,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
927,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
928,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
929,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
930,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
931,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
932,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
933,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
934,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
935,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
936,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
937,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
938,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
939,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
940,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
941,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
942,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
943,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
944,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
945,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
946,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
947,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
948,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
949,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
950,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
951,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
952,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
953,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
954,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
955,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
956,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
957,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
958,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
959,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
960,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
961,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
962,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
963,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
964,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
965,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
966,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
967,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
968,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
969,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
970,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
971,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
972,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
973,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
974,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
975,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
976,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
977,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
978,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
979,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
980,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
981,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
982,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
983,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
984,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
985,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
986,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
987,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
988,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
989,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
990,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
991,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
992,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
993,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
994,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
995,1,MS,12,1,357143.00000000,357143.00000000,0.00393238
