Tillers_Photosynthesis_An,sum_N_g,sum_dry_mass,sum_dry_mass_stem,Cont_WSC_DM_laminae,mstruct_laminae,Cont_WSC_DM,N_content_mstruct_shoot,N_content_mstruct,sum_respi_roots,NS,N_content_roots,Cont_WSC_DM_roots,mstruct_stem,N_content_shoot,Cont_WSC_DM_shoot,Cont_WSC_DM_stem,Total_Photosynthesis,N_content_mstruct_roots,N_content_total_DM_shoot,C_N_ratio,t,Tillers_Photosynthesis,mstruct_shoot,axis,sum_respi_shoot,dry_mass_phloem,mstruct,C_respired_roots,sum_C_g,C_respired_shoot,Total_Transpiration,plant,NS_shoot,N_content,sum_dry_mass_roots,shoot_roots_ratio,NS_roots,sum_N_g_shoot,sum_dry_mass_shoot,sum_NSC_g,senesced_mstruct,NNI,C_N_ratio_shoot,sum_dry_mass_laminae,C_exudated,NS_stem,NS_laminae,shoot_roots_mstruct_ratio
5.08923402,0.00209881,0.08773490,0.01320263,18.04641082039789,0.01419685,20.376135941836242,7.04770727,3.65537745,0.36547877,34.55606128,1.21908862,21.017102396525583,0.00726351,3.81574668,19.598364040156792,22.70574225004772,5.40483616,1.63070884,3.81574668,17.61524976,30.00000000,5.40483616,0.02146036,MS,0.95323746,0.01003309,0.05741718,1.02132402,0.03697114,1.33968191,0.00025756,1,45.85832625,2.39222298,0.04809748,0.82410595,25.24179743,0.00151246,0.03963742,0.01170758,0.00000000,0.86721515,11.01551206,0.02643479,2.44508448,44.98436112,46.29482059,0.59683719
0.00000000,0.00210391,0.08762721,0.01317408,17.480620892656866,0.01421953,20.156318640874176,7.04067254,3.65875605,0.37086246,34.37723248,1.22590634,21.004915576553902,0.00727332,3.83632891,19.119755217079003,22.388414767600075,0.00000000,1.64026490,3.83632891,17.54793066,31.00000000,0.00000000,0.02149284,MS,0.82372400,0.00981517,0.05750341,1.03380014,0.03691925,1.21145646,0.00017249,1,45.51189693,2.40097698,0.04818219,0.81866378,25.26168595,0.00151324,0.03944502,0.01161775,0.00000000,0.87189293,10.95575361,0.02627094,2.05057775,44.79072565,45.87354260,0.59684831
0.00000000,0.00210917,0.08754392,0.01313765,17.126387790729428,0.01424241,19.956556212080947,7.03210252,3.66236484,0.37410931,34.21552472,1.23489273,20.909907303558878,0.00728318,3.84931880,18.787530337289567,22.098551369778573,0.00000000,1.65110333,3.84931880,17.48440130,32.00000000,0.00000000,0.02152559,MS,0.55602881,0.00963066,0.05759026,1.04217223,0.03687753,0.94626306,0.00011906,1,45.26076967,2.40926749,0.04822004,0.81550897,25.20802834,0.00151370,0.03932388,0.01153781,0.00000000,0.87484518,10.91848021,0.02618622,1.46225640,44.56254149,45.61107144,0.59685996
0.00000000,0.00211445,0.08746653,0.01310717,16.823912660983282,0.01426532,19.761354627029622,7.02520041,3.66599683,0.37568396,34.05773858,1.24370732,20.786820234066056,0.00729296,3.86074352,18.500373010367724,21.841398793429867,0.00000000,1.66100282,3.86074352,17.42213750,33.00000000,0.00000000,0.02155828,MS,0.55316985,0.00945550,0.05767738,1.04665089,0.03683827,0.94371773,0.00011916,1,45.04436469,2.41744122,0.04823802,0.81322804,25.12310617,0.00151451,0.03922851,0.01146022,0.00000000,0.87744171,10.88578348,0.02612134,1.25149135,44.35900070,45.38826673,0.59686589
0.00000000,0.00211972,0.08739425,0.01308079,16.557416233345364,0.01428740,19.571028536566494,7.01952789,3.66962755,0.37647773,33.90422890,1.25234283,20.64845786517358,0.00730280,3.87113738,18.243288640413738,21.603062951302338,0.00000000,1.67024625,3.87113738,17.36133654,34.00000000,0.00000000,0.02159020,MS,0.55080123,0.00929530,0.05776386,1.04959392,0.03680117,0.93164787,0.00011924,1,44.85188410,2.42546862,0.04824477,0.81147620,25.02046724,0.00151553,0.03914948,0.01138507,0.00000000,0.87980395,10.85609773,0.02606869,1.08245971,44.17155993,45.19325815,0.59684799
0.00000000,0.00212499,0.08732552,0.01305700,16.31484835205504,0.01430993,19.38301081208075,7.01466771,3.67321999,0.37667594,33.75252756,1.26080745,20.497404673174945,0.00731260,3.88082658,18.007456319626193,21.38128267772729,0.00000000,1.67891273,3.88082658,17.30153018,35.00000000,0.00000000,0.02162254,MS,0.54873075,0.00914711,0.05785092,1.05137205,0.03676562,0.93504048,0.00011934,1,44.67554641,2.43341540,0.04824237,0.81014156,24.90333603,0.00151675,0.03908315,0.01131122,0.00000000,0.88200604,10.82849480,0.02602615,0.94665811,43.99477051,45.01708347,0.59683928
0.00000000,0.00213024,0.08725974,0.01303571,16.09065124378923,0.01433256,19.197271356619414,7.01035331,3.67674424,0.37640704,33.60263662,1.26914466,20.336962903567958,0.00732240,3.88988978,17.788717171866534,21.174348436213627,0.00000000,1.68714184,3.88988978,17.24285172,36.00000000,0.00000000,0.02165496,MS,0.54676817,0.00900944,0.05793815,1.05224112,0.03673138,0.93394546,0.00011918,1,44.51221485,2.44126123,0.04823321,0.80912155,24.77546176,0.00151809,0.03902653,0.01123860,0.00000000,0.88406586,10.80273337,0.02599082,0.83808382,43.82818883,44.85528861,0.59683135
0.00000000,0.00213548,0.08719547,0.01301476,15.877424321194328,0.01435728,19.010372211508532,7.00594015,3.68011505,0.37577162,33.45120534,1.27741008,20.166435376196564,0.00733219,3.89843825,17.580302346682114,20.97744630502998,0.00000000,1.69499656,3.89843825,17.18484688,37.00000000,0.00000000,0.02168947,MS,0.54503892,0.00887837,0.05802757,1.05239405,0.03669790,0.95751110,0.00011928,1,44.35524469,2.44907221,0.04821702,0.80839628,24.63642045,0.00151955,0.03897846,0.01116577,0.00000000,0.88600869,10.77851213,0.02596370,0.74922711,43.66251173,44.70248925,0.59688000
0.00000000,0.00214067,0.08713394,0.01299732,15.678834964966246,0.01438005,18.827909241712394,7.00243616,3.68350808,0.37484803,33.30374500,1.28551927,19.99253026220605,0.00734205,3.90663217,17.38623588169949,20.793651149033053,0.00000000,1.70251847,3.90663217,17.12807395,38.00000000,0.00000000,0.02172210,MS,0.54339650,0.00875684,0.05811506,1.05196970,0.03666561,0.93252323,0.00011928,1,44.21038509,2.45676194,0.04819819,0.80782586,24.49307910,0.00152108,0.03893575,0.01109499,0.00000000,0.88787095,10.75532398,0.02593842,0.67851337,43.51105975,44.56080576,0.59687633
0.00000000,0.00214580,0.08707377,0.01298114,15.489323177843012,0.01440289,18.64660005648294,6.99906060,3.68678116,0.37370193,33.15706837,1.29354073,19.813839849961724,0.00735188,3.91443103,17.200945761167393,20.618182496536424,0.00000000,1.70977009,3.91443103,17.07238279,39.00000000,0.00000000,0.02175477,MS,0.54193777,0.00864112,0.05820266,1.05108551,0.03663400,0.93194176,0.00011949,1,44.07205115,2.46435261,0.04817592,0.80741281,24.34417147,0.00152263,0.03889785,0.01102483,0.00000000,0.88964342,10.73329487,0.02591671,0.62215055,43.36491529,44.42624075,0.59687328
