t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind,SRWC
290,359,14,4.8,392.7777778,5.415,0.92,400,2.9,80
291,359,15,3.6,157.1111111,6.223,0.95,400,2.9,80
292,359,16,3.5,22.44444444,5.957,0.96,400,2.9,80
293,359,17,3.6,0,5.733,0.97,400,2.9,80
294,359,18,3.7,0,5.59,0.98,400,2.9,80
295,359,19,3.9,0,5.511,0.99,400,2.9,80
296,359,20,3.9,0,5.48,0.99,400,2.9,80
297,359,21,4.4,0,5.455,0.99,400,2.9,80
298,359,22,4.7,0,5.45,0.99,400,2.9,80
299,359,23,4.4,0,5.466,0.99,400,2.9,80
300,359,24,4.3,0,5.445,0.98,400,4.6,80
301,360,1,4.5,0,5.385,0.96,400,4.6,80
302,360,2,4.5,0,5.346,0.96,400,4.6,80
303,360,3,5.1,0,5.347,0.96,400,4.6,80
304,360,4,5.5,0,5.401,0.95,400,4.6,80
305,360,5,5.8,0,5.489,0.95,400,4.6,80
306,360,6,6.2,0,5.6,0.94,400,4.6,80
307,360,7,6.6,0,5.712,0.94,400,4.6,80
308,360,8,7.1,0,5.84,0.93,400,4.6,80
309,360,9,7.2,11.22222222,6.001,0.95,400,4.6,80
310,360,10,7.7,33.66666667,6.203,0.95,400,4.6,80
311,360,11,7.6,33.66666667,6.433,0.95,400,4.6,80
312,360,12,5.2,516.2222222,5.84,0.95,400,2.9,80
313,360,13,5.6,549.8888889,6.264,0.88,400,2.9,80
314,360,14,4.8,392.7777778,5.415,0.92,400,2.9,80
315,360,15,3.6,157.1111111,6.223,0.95,400,2.9,80
316,360,16,3.5,22.44444444,5.957,0.96,400,2.9,80
317,360,17,3.6,0,5.733,0.97,400,2.9,80
318,360,18,3.7,0,5.59,0.98,400,2.9,80
319,360,19,3.9,0,5.511,0.99,400,2.9,80
320,360,20,3.9,0,5.48,0.99,400,2.9,80
321,360,21,4.4,0,5.455,0.99,400,2.9,80
322,360,22,4.7,0,5.45,0.99,400,2.9,80
323,360,23,4.4,0,5.466,0.99,400,2.9,80
324,360,24,4.3,0,5.445,0.98,400,4.6,80
325,361,1,4.5,0,5.385,0.96,400,4.6,80
326,361,2,4.5,0,5.346,0.96,400,4.6,80
327,361,3,5.1,0,5.347,0.96,400,4.6,80
328,361,4,5.5,0,5.401,0.95,400,4.6,80
329,361,5,5.8,0,5.489,0.95,400,4.6,80
330,361,6,6.2,0,5.6,0.94,400,4.6,80
331,361,7,6.6,0,5.712,0.94,400,4.6,80
332,361,8,7.1,0,5.84,0.93,400,4.6,80
333,361,9,7.2,11.22222222,6.001,0.95,400,4.6,80
334,361,10,7.7,33.66666667,6.203,0.95,400,4.6,80
335,361,11,7.6,33.66666667,6.433,0.95,400,4.6,80
336,361,12,5.2,516.2222222,5.84,0.95,400,2.9,80
337,361,13,5.6,549.8888889,6.264,0.88,400,2.9,80
338,361,14,4.8,392.7777778,5.415,0.92,400,2.9,80
339,361,15,3.6,157.1111111,6.223,0.95,400,2.9,80
340,361,16,3.5,22.44444444,5.957,0.96,400,2.9,80
341,361,17,3.6,0,5.733,0.97,400,2.9,80
342,361,18,3.7,0,5.59,0.98,400,2.9,80
343,361,19,3.9,0,5.511,0.99,400,2.9,80
344,361,20,3.9,0,5.48,0.99,400,2.9,80
345,361,21,4.4,0,5.455,0.99,400,2.9,80
346,361,22,4.7,0,5.45,0.99,400,2.9,80
347,361,23,4.4,0,5.466,0.99,400,2.9,80
348,361,24,4.3,0,5.445,0.98,400,4.6,80
349,1,1,4.5,0,5.385,0.96,400,4.6,80
350,1,2,4.5,0,5.346,0.96,400,4.6,80
351,1,3,5.1,0,5.347,0.96,400,4.6,80
352,1,4,5.5,0,5.401,0.95,400,4.6,80
353,1,5,5.8,0,5.489,0.95,400,4.6,80
354,1,6,6.2,0,5.6,0.94,400,4.6,80
355,1,7,6.6,0,5.712,0.94,400,4.6,80
356,1,8,7.1,0,5.84,0.93,400,4.6,80
357,1,9,7.2,11.22222222,6.001,0.95,400,4.6,80
358,1,10,7.7,33.66666667,6.203,0.95,400,4.6,80
359,1,11,7.6,33.66666667,6.433,0.95,400,4.6,80
360,1,12,5.2,516.2222222,5.84,0.95,400,2.9,80
361,1,13,5.6,549.8888889,6.264,0.88,400,2.9,80
362,1,14,4.8,392.7777778,5.415,0.92,400,2.9,80
363,1,15,3.6,157.1111111,6.223,0.95,400,2.9,80
364,1,16,3.5,22.44444444,5.957,0.96,400,2.9,80
365,1,17,3.6,0,5.733,0.97,400,2.9,80
366,1,18,3.7,0,5.59,0.98,400,2.9,80
367,1,19,3.9,0,5.511,0.99,400,2.9,80
368,1,20,3.9,0,5.48,0.99,400,2.9,80
369,1,21,4.4,0,5.455,0.99,400,2.9,80
370,1,22,4.7,0,5.45,0.99,400,2.9,80
371,1,23,4.4,0,5.466,0.99,400,2.9,80
372,1,24,4.3,0,5.445,0.98,400,4.6,80
373,2,1,4.5,0,5.385,0.96,400,4.6,80
374,2,2,4.5,0,5.346,0.96,400,4.6,80
375,2,3,5.1,0,5.347,0.96,400,4.6,80
376,2,4,5.5,0,5.401,0.95,400,4.6,80
377,2,5,5.8,0,5.489,0.95,400,4.6,80
378,2,6,6.2,0,5.6,0.94,400,4.6,80
379,2,7,6.6,0,5.712,0.94,400,4.6,80
380,2,8,7.1,0,5.84,0.93,400,4.6,80
381,2,9,7.2,11.22222222,6.001,0.95,400,4.6,80
382,2,10,7.7,33.66666667,6.203,0.95,400,4.6,80
383,2,11,7.6,33.66666667,6.433,0.95,400,4.6,80
384,2,12,5.2,516.2222222,5.84,0.95,400,2.9,80
385,2,13,5.6,549.8888889,6.264,0.88,400,2.9,80
386,2,14,4.8,392.7777778,5.415,0.92,400,2.9,80
387,2,15,3.6,157.1111111,6.223,0.95,400,2.9,80
388,2,16,3.5,22.44444444,5.957,0.96,400,2.9,80
389,2,17,3.6,0,5.733,0.97,400,2.9,80
390,2,18,3.7,0,5.59,0.98,400,2.9,80
391,2,19,3.9,0,5.511,0.99,400,2.9,80
392,2,20,3.9,0,5.48,0.99,400,2.9,80
393,2,21,4.4,0,5.455,0.99,400,2.9,80
394,2,22,4.7,0,5.45,0.99,400,2.9,80
395,2,23,4.4,0,5.466,0.99,400,2.9,80
396,2,24,4.3,0,5.445,0.98,400,4.6,80
397,3,1,4.5,0,5.385,0.96,400,4.6,80
398,3,2,4.5,0,5.346,0.96,400,4.6,80
399,3,3,5.1,0,5.347,0.96,400,4.6,80
400,3,4,5.5,0,5.401,0.95,400,4.6,80
401,3,5,5.8,0,5.489,0.95,400,4.6,80
402,3,6,6.2,0,5.6,0.94,400,4.6,80
403,3,7,6.6,0,5.712,0.94,400,4.6,80
404,3,8,7.1,0,5.84,0.93,400,4.6,80
405,3,9,7.2,11.22222222,6.001,0.95,400,4.6,80
406,3,10,7.7,33.66666667,6.203,0.95,400,4.6,80
407,3,11,7.6,33.66666667,6.433,0.95,400,4.6,80
408,3,12,5.2,516.2222222,5.84,0.95,400,2.9,80
409,3,13,5.6,549.8888889,6.264,0.88,400,2.9,80
410,3,14,4.8,392.7777778,5.415,0.92,400,2.9,80
411,3,15,3.6,157.1111111,6.223,0.95,400,2.9,80
412,3,16,3.5,22.44444444,5.957,0.96,400,2.9,80
413,3,17,3.6,0,5.733,0.97,400,2.9,80
414,3,18,3.7,0,5.59,0.98,400,2.9,80
415,3,19,3.9,0,5.511,0.99,400,2.9,80
416,3,20,3.9,0,5.48,0.99,400,2.9,80
417,3,21,4.4,0,5.455,0.99,400,2.9,80
418,3,22,4.7,0,5.45,0.99,400,2.9,80
419,3,23,4.4,0,5.466,0.99,400,2.9,80
420,3,24,4.3,0,5.445,0.98,400,4.6,80
421,4,1,4.5,0,5.385,0.96,400,4.6,80
422,4,2,4.5,0,5.346,0.96,400,4.6,80
423,4,3,5.1,0,5.347,0.96,400,4.6,80
424,4,4,5.5,0,5.401,0.95,400,4.6,80
425,4,5,5.8,0,5.489,0.95,400,4.6,80
426,4,6,6.2,0,5.6,0.94,400,4.6,80
427,4,7,6.6,0,5.712,0.94,400,4.6,80
428,4,8,7.1,0,5.84,0.93,400,4.6,80
429,4,9,7.2,11.22222222,6.001,0.95,400,4.6,80
430,4,10,7.7,33.66666667,6.203,0.95,400,4.6,80
431,4,11,7.6,33.66666667,6.433,0.95,400,4.6,80
432,4,12,5.2,516.2222222,5.84,0.95,400,2.9,80
433,4,13,5.6,549.8888889,6.264,0.88,400,2.9,80
434,4,14,4.8,392.7777778,5.415,0.92,400,2.9,80
435,4,15,3.6,157.1111111,6.223,0.95,400,2.9,80
436,4,16,3.5,22.44444444,5.957,0.96,400,2.9,80
437,4,17,3.6,0,5.733,0.97,400,2.9,80
438,4,18,3.7,0,5.59,0.98,400,2.9,80
439,4,19,3.9,0,5.511,0.99,400,2.9,80
440,4,20,3.9,0,5.48,0.99,400,2.9,80
441,4,21,4.4,0,5.455,0.99,400,2.9,80
442,4,22,4.7,0,5.45,0.99,400,2.9,80
443,4,23,4.4,0,5.466,0.99,400,2.9,80
444,4,24,4.3,0,5.445,0.98,400,4.6,80
445,5,1,4.5,0,5.385,0.96,400,4.6,80
446,5,2,4.5,0,5.346,0.96,400,4.6,80
447,5,3,5.1,0,5.347,0.96,400,4.6,80
448,5,4,5.5,0,5.401,0.95,400,4.6,80
449,5,5,5.8,0,5.489,0.95,400,4.6,80
450,5,6,6.2,0,5.6,0.94,400,4.6,80
451,5,7,6.6,0,5.712,0.94,400,4.6,80
452,5,8,7.1,0,5.84,0.93,400,4.6,80
453,5,9,7.2,11.22222222,6.001,0.95,400,4.6,80
454,5,10,7.7,33.66666667,6.203,0.95,400,4.6,80
455,5,11,7.6,33.66666667,6.433,0.95,400,4.6,80
456,5,12,5.2,516.2222222,5.84,0.95,400,2.9,80
457,5,13,5.6,549.8888889,6.264,0.88,400,2.9,80
458,5,14,4.8,392.7777778,5.415,0.92,400,2.9,80
459,5,15,3.6,157.1111111,6.223,0.95,400,2.9,80
460,5,16,3.5,22.44444444,5.957,0.96,400,2.9,80
461,5,17,3.6,0,5.733,0.97,400,2.9,80
462,5,18,3.7,0,5.59,0.98,400,2.9,80
463,5,19,3.9,0,5.511,0.99,400,2.9,80
464,5,20,3.9,0,5.48,0.99,400,2.9,80
465,5,21,4.4,0,5.455,0.99,400,2.9,80
466,5,22,4.7,0,5.45,0.99,400,2.9,80
467,5,23,4.4,0,5.466,0.99,400,2.9,80
468,5,24,4.3,0,5.445,0.98,400,4.6,80
469,6,1,4.5,0,5.385,0.96,400,4.6,80
