t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
12,1,MS,roots,0.02992279,8.00015016,0.01949461,0.04121571,0.00544562,1.47879624,NA,0.09634061,0.00017804,NA,0.10118553,0.09881556,NA,NA,NA,0.06318943,1.03333377,NA,1.43673469,NA,1.25103257,NA,NA,13.88651879,NA,NA,1.50784087,40.00075078,0.24890569,NA,NA,1.16908712,8.79985469,0.00008378,NA,0.03556941,22.24526425,NA,0.00000000,0.00010293,0.00000000,NA,NA,NA,97.08131187,3.00065763,0.26319052,NA,NA
12,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392662,NA
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64931398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.62193320,NA,NA,NA,NA
13,1,MS,roots,0.02953839,8.35163438,0.02047481,0.04156011,0.00547837,1.47758259,NA,0.10901140,0.00017846,NA,0.10100877,0.09623664,NA,NA,NA,0.06272107,1.02005911,NA,1.43089763,NA,1.24053777,NA,NA,13.97286579,NA,NA,1.57207653,41.75817190,0.24240967,NA,NA,1.22589572,8.83855591,0.00008271,NA,0.03565212,22.39509321,NA,0.00000000,0.00010310,0.00000000,NA,NA,NA,93.91892238,2.96210986,0.25996647,NA,NA
13,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03391969,NA
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51553780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.38390038,NA,NA,NA,NA
14,1,MS,roots,0.02913254,8.65635100,0.02149551,0.04193350,0.00551632,1.47660186,NA,0.12229477,0.00017887,NA,0.10081631,0.09372209,NA,NA,NA,0.06224199,1.00604378,NA,1.42491117,NA,1.22903386,NA,NA,14.05980293,NA,NA,1.62647114,43.28175501,0.23607580,NA,NA,1.28370032,8.87689983,0.00008157,NA,0.03573369,22.53820828,NA,0.00000000,0.00010336,0.00000000,NA,NA,NA,90.86374331,2.92141131,0.25678039,NA,NA
14,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.03392717,NA
15,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38116675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170.10630385,NA,NA,NA,NA
15,1,MS,roots,0.02870512,8.88196297,0.02250342,0.04224921,0.00554798,1.47583990,NA,0.13558758,0.00017927,NA,0.10060709,0.09126588,NA,NA,NA,0.06174886,0.99128346,NA,1.41876287,NA,1.21643888,NA,NA,14.14674306,NA,NA,1.66593728,44.40981483,0.22988888,NA,NA,1.34193534,8.91484959,0.00008037,NA,0.03581406,22.67483496,NA,0.00000000,0.00010351,0.00000000,NA,NA,NA,87.90643119,2.87854938,0.25362183,NA,NA
