t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,Ksoil,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,SRWC,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Tr,Tsoil,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,green_area,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,soil_water_potential,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi,total_water_potential,xylem_water_potential
11,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027624,NA
12,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.51111093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204.34049343,NA,NA,NA,NA
12,1,MS,roots,0.01777782,6.17232613,0.02602967,0.04840150,0.00625321,1.65369162,NA,0.07221376,0.00017555,NA,0.12008171,0.12772246,NA,NA,NA,0.07840919,0.61392748,NA,1.72931937,NA,1.53444797,NA,NA,13.91720853,NA,NA,0.98337582,30.86163066,0.32171905,NA,NA,1.37811738,8.92106018,0.00004978,NA,0.03507006,23.06316374,NA,0.00000000,0.00011659,0.00000000,NA,NA,NA,117.79181970,1.78276006,0.32621336,NA,NA
12,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00028515,NA
13,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38933604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.85861261,NA,NA,NA,NA
13,1,MS,roots,0.01770256,6.33308707,0.02702126,0.04888622,0.00629276,1.64611758,NA,0.07814947,0.00017580,NA,0.12004628,0.12557011,NA,NA,NA,0.07832070,0.61132837,NA,1.72636915,NA,1.53149428,NA,NA,13.98598490,NA,NA,1.00229118,31.66543535,0.31629750,NA,NA,1.42919119,8.96853992,0.00004957,NA,0.03511962,23.27092978,NA,0.00000000,0.00011671,0.00000000,NA,NA,NA,115.81898058,1.77521261,0.32393709,NA,NA
13,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027788,NA
14,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26864607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.50007615,NA,NA,NA,NA
14,1,MS,roots,0.01762458,6.50347218,0.02800405,0.04935279,0.00633145,1.63883560,NA,0.08450974,0.00017604,NA,0.12000702,0.12347039,NA,NA,NA,0.07822393,0.60863559,NA,1.72338290,NA,1.52832022,NA,NA,14.05432058,NA,NA,1.02175313,32.51736089,0.31100855,NA,NA,1.47990229,9.01594373,0.00004935,NA,0.03516897,23.47288317,NA,0.00000000,0.00011681,0.00000000,NA,NA,NA,113.88632046,1.76739317,0.32170134,NA,NA
14,1,MS,xylem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11900251,NA,NA,NA,NA,NA,-0.00027728,NA
